parametros	ph	conductividad	turbidez	coliformes
fuente 1	6,37	100	1	0
fuente 2	7,21	159	0	1
fuente 3	6,99	270	0	0
fuente 4	7,75	242	0	0
fuente 5	7,46	196	0	0
fuente 6	6,66	163	0	0
fuente 7	7,21	282	5	1
fuente 8	7,56	172	3	1
fuente 9	7,94	121	2	0
fuente 10	7,8	103	0	0
fuente 11	7,16	200	0	0
fuente 12	7,46	214	0	0
fuente 13	7,43	116	0	1
fuente 14	6,94	117	1	0
fuente 15	6,83	112	1	0
fuente 16	7,01	111	1	0
fuente 17	7,38	203	10	2
fuente 18	7,47	269	4	1
fuente 19	7,69	244	3	1
fuente 20	7,39	219	0	0
fuente 21	7,35	201	0	0
fuente 22	7,53	132	0	0
fuente 23	6,59	169	1	0
fuente 24	7,46	169	0	0
fuente 25	7,37	170	0	0
