parametros	pH	conductividad	turbidez	coliformes
fuente1 	6.07	105      	6       	2
fuente2 	6.82	136     	4        	1
fuente3 	7.60	281      	3       	0
fuente4 	7.39	265       	9             	2
fuente5 	7.18	194       	7       	0
fuente6 	6.20	123         	2       	2
fuente7 	6.26	109      	3       	1
fuente8 	7.20	236      	9            	2
fuente9 	6.53	170       	5       	1
fuente10	6.98	242      	7        	1
fuente11	7.34	197     	9       	2
fuente12	6.14	220      	6        	1
fuente13	6.97	170        	3       	2
fuente14	7.63	133        	4       	0
fuente15	7.63	140         	7        	0
fuente16	6.67	249       	6        	0
fuente17	8.05	168      	2               1
fuente18	7.23	121       	8       	1
fuente19	6.61	271        	4       	2
fuente20	6.75	187             8       	1
fuente21	6.05	248       	7         	1
fuente22	7.31	277        	1          	0
fuente23	6.02	116        	1       	2
fuente24	7.30	136        	9       	0
fuente25	7.84	168             6        	1
